"","X","top.left.square","top.middle.square","top.right.square","middle.left.square","middle.middle.square","middle.right.square","bottom.left.square","bottom.middle.square","bottom.right.square","Class"
"1",1,3,3,3,3,2,2,2,3,2,1
"2",2,3,3,3,3,2,2,2,2,3,1
"3",3,3,3,3,3,2,2,2,1,1,1
"4",4,3,3,3,3,2,2,1,2,1,1
"5",5,3,3,3,3,2,2,1,1,2,1
"6",6,3,3,3,3,2,1,2,2,1,1
"7",7,3,3,3,3,2,1,2,1,2,1
"8",8,3,3,3,3,2,1,1,2,2,1
"9",9,3,3,3,3,1,2,2,2,1,1
"10",10,3,3,3,3,1,2,2,1,2,1
"11",11,3,3,3,3,1,2,1,2,2,1
"12",12,3,3,3,2,3,2,3,2,2,1
"13",13,3,3,3,2,3,2,2,3,2,1
"14",14,3,3,3,2,3,2,2,2,3,1
"15",15,3,3,3,2,3,2,2,1,1,1
"16",16,3,3,3,2,3,2,1,2,1,1
"17",17,3,3,3,2,3,2,1,1,2,1
"18",18,3,3,3,2,3,1,2,2,1,1
"19",19,3,3,3,2,3,1,2,1,2,1
"20",20,3,3,3,2,3,1,1,2,2,1
"21",21,3,3,3,2,2,3,3,2,2,1
"22",22,3,3,3,2,2,3,2,3,2,1
"23",23,3,3,3,2,2,3,2,2,3,1
"24",24,3,3,3,2,2,3,2,1,1,1
"25",25,3,3,3,2,2,3,1,2,1,1
"26",26,3,3,3,2,2,3,1,1,2,1
"27",27,3,3,3,2,2,1,3,2,1,1
"28",28,3,3,3,2,2,1,3,1,2,1
"29",29,3,3,3,2,2,1,2,3,1,1
"30",30,3,3,3,2,2,1,2,1,3,1
"31",31,3,3,3,2,2,1,1,3,2,1
"32",32,3,3,3,2,2,1,1,2,3,1
"33",33,3,3,3,2,2,1,1,1,1,1
"34",34,3,3,3,2,1,3,2,2,1,1
"35",35,3,3,3,2,1,3,2,1,2,1
"36",36,3,3,3,2,1,3,1,2,2,1
"37",37,3,3,3,2,1,2,3,2,1,1
"38",38,3,3,3,2,1,2,3,1,2,1
"39",39,3,3,3,2,1,2,2,3,1,1
"40",40,3,3,3,2,1,2,2,1,3,1
"41",41,3,3,3,2,1,2,1,3,2,1
"42",42,3,3,3,2,1,2,1,2,3,1
"43",43,3,3,3,2,1,2,1,1,1,1
"44",44,3,3,3,2,1,1,3,2,2,1
"45",45,3,3,3,2,1,1,2,3,2,1
"46",46,3,3,3,2,1,1,2,2,3,1
"47",47,3,3,3,2,1,1,2,1,1,1
"48",48,3,3,3,2,1,1,1,2,1,1
"49",49,3,3,3,2,1,1,1,1,2,1
"50",50,3,3,3,1,3,2,2,2,1,1
"51",51,3,3,3,1,3,2,2,1,2,1
"52",52,3,3,3,1,3,2,1,2,2,1
"53",53,3,3,3,1,2,3,2,2,1,1
"54",54,3,3,3,1,2,3,2,1,2,1
"55",55,3,3,3,1,2,3,1,2,2,1
"56",56,3,3,3,1,2,2,3,2,1,1
"57",57,3,3,3,1,2,2,3,1,2,1
"58",58,3,3,3,1,2,2,2,3,1,1
"59",59,3,3,3,1,2,2,2,1,3,1
"60",60,3,3,3,1,2,2,1,3,2,1
"61",61,3,3,3,1,2,2,1,2,3,1
"62",62,3,3,3,1,2,2,1,1,1,1
"63",63,3,3,3,1,2,1,3,2,2,1
"64",64,3,3,3,1,2,1,2,3,2,1
"65",65,3,3,3,1,2,1,2,2,3,1
"66",66,3,3,3,1,2,1,2,1,1,1
"67",67,3,3,3,1,2,1,1,2,1,1
"68",68,3,3,3,1,2,1,1,1,2,1
"69",69,3,3,3,1,1,2,3,2,2,1
"70",70,3,3,3,1,1,2,2,3,2,1
"71",71,3,3,3,1,1,2,2,2,3,1
"72",72,3,3,3,1,1,2,2,1,1,1
"73",73,3,3,3,1,1,2,1,2,1,1
"74",74,3,3,3,1,1,2,1,1,2,1
"75",75,3,3,3,1,1,1,2,2,1,1
"76",76,3,3,3,1,1,1,2,1,2,1
"77",77,3,3,3,1,1,1,1,2,2,1
"78",78,3,3,2,3,3,2,2,2,3,1
"79",79,3,3,2,3,2,3,3,2,2,1
"80",80,3,3,2,3,2,2,3,2,3,1
"81",81,3,3,2,3,2,2,3,1,1,1
"82",82,3,3,2,3,2,1,3,2,1,1
"83",83,3,3,2,3,2,1,3,1,2,1
"84",84,3,3,2,3,1,2,3,2,1,1
"85",85,3,3,2,3,1,1,3,2,2,1
"86",86,3,3,2,2,3,3,2,3,2,1
"87",87,3,3,2,2,3,3,2,2,3,1
"88",88,3,3,2,2,3,2,3,2,3,1
"89",89,3,3,2,2,3,2,2,3,3,1
"90",90,3,3,2,2,3,2,1,3,1,1
"91",91,3,3,2,2,3,2,1,1,3,1
"92",92,3,3,2,2,3,1,2,3,1,1
"93",93,3,3,2,2,3,1,2,1,3,1
"94",94,3,3,2,2,3,1,1,3,2,1
"95",95,3,3,2,2,3,1,1,2,3,1
"96",96,3,3,2,1,3,2,2,3,1,1
"97",97,3,3,2,1,3,2,2,1,3,1
"98",98,3,3,2,1,3,2,1,2,3,1
"99",99,3,3,2,1,3,1,2,3,2,1
"100",100,3,3,2,1,3,1,2,2,3,1
"101",101,3,3,1,3,2,2,3,2,1,1
"102",102,3,3,1,3,2,2,3,1,2,1
"103",103,3,3,1,3,2,1,3,2,2,1
"104",104,3,3,1,3,1,2,3,2,2,1
"105",105,3,3,1,2,3,2,2,3,1,1
"106",106,3,3,1,2,3,2,2,1,3,1
"107",107,3,3,1,2,3,2,1,3,2,1
"108",108,3,3,1,2,3,2,1,2,3,1
"109",109,3,3,1,2,3,1,2,3,2,1
"110",110,3,3,1,2,3,1,2,2,3,1
"111",111,3,3,1,1,3,2,2,3,2,1
"112",112,3,3,1,1,3,2,2,2,3,1
"113",113,3,2,3,3,3,2,3,2,2,1
"114",114,3,2,3,3,3,2,2,2,3,1
"115",115,3,2,3,3,2,2,3,3,2,1
"116",116,3,2,3,3,2,2,3,1,1,1
"117",117,3,2,3,3,2,1,3,1,2,1
"118",118,3,2,3,3,1,2,3,2,1,1
"119",119,3,2,3,3,1,2,3,1,2,1
"120",120,3,2,3,3,1,1,3,2,2,1
"121",121,3,2,3,2,3,3,3,2,2,1
"122",122,3,2,3,2,3,3,2,2,3,1
"123",123,3,2,3,2,3,2,3,3,2,1
"124",124,3,2,3,2,3,2,3,2,3,1
"125",125,3,2,3,2,3,2,3,1,1,1
"126",126,3,2,3,2,3,2,2,3,3,1
"127",127,3,2,3,2,3,2,1,1,3,1
"128",128,3,2,3,2,3,1,3,2,1,1
"129",129,3,2,3,2,3,1,3,1,2,1
"130",130,3,2,3,2,3,1,2,1,3,1
"131",131,3,2,3,2,3,1,1,2,3,1
"132",132,3,2,3,2,2,3,2,3,3,1
"133",133,3,2,3,2,2,3,1,1,3,1
"134",134,3,2,3,2,1,3,2,1,3,1
"135",135,3,2,3,2,1,3,1,2,3,1
"136",136,3,2,3,1,3,2,3,2,1,1
"137",137,3,2,3,1,3,2,3,1,2,1
"138",138,3,2,3,1,3,2,2,1,3,1
"139",139,3,2,3,1,3,2,1,2,3,1
"140",140,3,2,3,1,3,1,3,2,2,1
"141",141,3,2,3,1,3,1,2,2,3,1
"142",142,3,2,3,1,2,3,2,1,3,1
"143",143,3,2,3,1,1,3,2,2,3,1
"144",144,3,2,2,3,3,3,3,2,2,1
"145",145,3,2,2,3,3,3,2,3,2,1
"146",146,3,2,2,3,3,3,2,2,3,1
"147",147,3,2,2,3,3,3,2,1,1,1
"148",148,3,2,2,3,3,3,1,2,1,1
"149",149,3,2,2,3,3,3,1,1,2,1
"150",150,3,2,2,3,3,2,3,2,3,1
"151",151,3,2,2,3,3,2,3,1,1,1
"152",152,3,2,2,3,3,2,2,3,3,1
"153",153,3,2,2,3,3,2,1,1,3,1
"154",154,3,2,2,3,3,1,3,2,1,1
"155",155,3,2,2,3,3,1,3,1,2,1
"156",156,3,2,2,3,3,1,2,1,3,1
"157",157,3,2,2,3,3,1,1,2,3,1
"158",158,3,2,2,3,2,3,3,3,2,1
"159",159,3,2,2,3,2,3,3,1,1,1
"160",160,3,2,2,3,2,2,3,3,3,1
"161",161,3,2,2,3,2,1,3,3,1,1
"162",162,3,2,2,3,2,1,3,1,3,1
"163",163,3,2,2,3,1,3,3,2,1,1
"164",164,3,2,2,3,1,3,3,1,2,1
"165",165,3,2,2,3,1,2,3,3,1,1
"166",166,3,2,2,3,1,2,3,1,3,1
"167",167,3,2,2,3,1,1,3,3,2,1
"168",168,3,2,2,3,1,1,3,2,3,1
"169",169,3,2,2,3,1,1,3,1,1,1
"170",170,3,2,2,2,3,3,3,2,3,1
"171",171,3,2,2,2,3,3,2,3,3,1
"172",172,3,2,2,2,3,3,1,1,3,1
"173",173,3,2,2,2,3,2,3,3,3,1
"174",174,3,2,2,2,3,1,3,1,3,1
"175",175,3,2,2,2,3,1,1,3,3,1
"176",176,3,2,2,2,2,3,3,3,3,1
"177",177,3,2,2,2,1,1,3,3,3,1
"178",178,3,2,2,1,3,3,2,1,3,1
"179",179,3,2,2,1,3,3,1,2,3,1
"180",180,3,2,2,1,3,2,3,1,3,1
"181",181,3,2,2,1,3,2,1,3,3,1
"182",182,3,2,2,1,3,1,3,2,3,1
"183",183,3,2,2,1,3,1,2,3,3,1
"184",184,3,2,2,1,3,1,1,1,3,1
"185",185,3,2,2,1,2,1,3,3,3,1
"186",186,3,2,2,1,1,2,3,3,3,1
"187",187,3,2,1,3,3,3,2,2,1,1
"188",188,3,2,1,3,3,3,2,1,2,1
"189",189,3,2,1,3,3,3,1,2,2,1
"190",190,3,2,1,3,3,2,3,2,1,1
"191",191,3,2,1,3,3,2,3,1,2,1
"192",192,3,2,1,3,3,2,2,1,3,1
"193",193,3,2,1,3,3,2,1,2,3,1
"194",194,3,2,1,3,3,1,3,2,2,1
"195",195,3,2,1,3,3,1,2,2,3,1
"196",196,3,2,1,3,2,3,3,1,2,1
"197",197,3,2,1,3,2,2,3,3,1,1
"198",198,3,2,1,3,2,2,3,1,3,1
"199",199,3,2,1,3,2,1,3,3,2,1
"200",200,3,2,1,3,2,1,3,1,1,1
"201",201,3,2,1,3,1,3,3,2,2,1
"202",202,3,2,1,3,1,2,3,3,2,1
"203",203,3,2,1,3,1,2,3,2,3,1
"204",204,3,2,1,3,1,2,3,1,1,1
"205",205,3,2,1,3,1,1,3,2,1,1
"206",206,3,2,1,3,1,1,3,1,2,1
"207",207,3,2,1,2,3,3,2,1,3,1
"208",208,3,2,1,2,3,3,1,2,3,1
"209",209,3,2,1,2,3,2,3,1,3,1
"210",210,3,2,1,2,3,2,1,3,3,1
"211",211,3,2,1,2,3,1,3,2,3,1
"212",212,3,2,1,2,3,1,2,3,3,1
"213",213,3,2,1,2,3,1,1,1,3,1
"214",214,3,2,1,2,2,1,3,3,3,1
"215",215,3,2,1,2,1,2,3,3,3,1
"216",216,3,2,1,1,3,3,2,2,3,1
"217",217,3,2,1,1,3,2,3,2,3,1
"218",218,3,2,1,1,3,2,2,3,3,1
"219",219,3,2,1,1,3,2,1,1,3,1
"220",220,3,2,1,1,3,1,2,1,3,1
"221",221,3,2,1,1,3,1,1,2,3,1
"222",222,3,2,1,1,2,2,3,3,3,1
"223",223,3,1,3,3,2,2,3,2,1,1
"224",224,3,1,3,3,2,2,3,1,2,1
"225",225,3,1,3,3,2,1,3,2,2,1
"226",226,3,1,3,3,1,2,3,2,2,1
"227",227,3,1,3,2,3,2,3,2,1,1
"228",228,3,1,3,2,3,2,3,1,2,1
"229",229,3,1,3,2,3,2,2,1,3,1
"230",230,3,1,3,2,3,2,1,2,3,1
"231",231,3,1,3,2,3,1,3,2,2,1
"232",232,3,1,3,2,3,1,2,2,3,1
"233",233,3,1,3,2,2,3,2,1,3,1
"234",234,3,1,3,2,2,3,1,2,3,1
"235",235,3,1,3,2,1,3,2,2,3,1
"236",236,3,1,3,1,3,2,3,2,2,1
"237",237,3,1,3,1,3,2,2,2,3,1
"238",238,3,1,3,1,2,3,2,2,3,1
"239",239,3,1,2,3,3,3,2,2,1,1
"240",240,3,1,2,3,3,3,2,1,2,1
"241",241,3,1,2,3,3,3,1,2,2,1
"242",242,3,1,2,3,3,2,3,2,1,1
"243",243,3,1,2,3,3,2,2,1,3,1
"244",244,3,1,2,3,3,2,1,2,3,1
"245",245,3,1,2,3,3,1,3,2,2,1
"246",246,3,1,2,3,3,1,2,2,3,1
"247",247,3,1,2,3,2,3,3,2,1,1
"248",248,3,1,2,3,2,3,3,1,2,1
"249",249,3,1,2,3,2,2,3,3,1,1
"250",250,3,1,2,3,2,2,3,1,3,1
"251",251,3,1,2,3,2,1,3,3,2,1
"252",252,3,1,2,3,2,1,3,2,3,1
"253",253,3,1,2,3,2,1,3,1,1,1
"254",254,3,1,2,3,1,3,3,2,2,1
"255",255,3,1,2,3,1,2,3,2,3,1
"256",256,3,1,2,3,1,2,3,1,1,1
"257",257,3,1,2,3,1,1,3,2,1,1
"258",258,3,1,2,3,1,1,3,1,2,1
"259",259,3,1,2,2,3,3,2,1,3,1
"260",260,3,1,2,2,3,3,1,2,3,1
"261",261,3,1,2,2,3,2,3,1,3,1
"262",262,3,1,2,2,3,2,1,3,3,1
"263",263,3,1,2,2,3,1,3,2,3,1
"264",264,3,1,2,2,3,1,2,3,3,1
"265",265,3,1,2,2,3,1,1,1,3,1
"266",266,3,1,2,2,2,1,3,3,3,1
"267",267,3,1,2,2,1,2,3,3,3,1
"268",268,3,1,2,1,3,3,2,2,3,1
"269",269,3,1,2,1,3,2,3,2,3,1
"270",270,3,1,2,1,3,2,2,3,3,1
"271",271,3,1,2,1,3,2,1,1,3,1
"272",272,3,1,2,1,3,1,2,1,3,1
"273",273,3,1,2,1,3,1,1,2,3,1
"274",274,3,1,2,1,2,2,3,3,3,1
"275",275,3,1,1,3,3,2,3,2,2,1
"276",276,3,1,1,3,3,2,2,2,3,1
"277",277,3,1,1,3,2,3,3,2,2,1
"278",278,3,1,1,3,2,2,3,3,2,1
"279",279,3,1,1,3,2,2,3,2,3,1
"280",280,3,1,1,3,2,2,3,1,1,1
"281",281,3,1,1,3,2,1,3,2,1,1
"282",282,3,1,1,3,2,1,3,1,2,1
"283",283,3,1,1,3,1,2,3,2,1,1
"284",284,3,1,1,3,1,2,3,1,2,1
"285",285,3,1,1,3,1,1,3,2,2,1
"286",286,3,1,1,2,3,3,2,2,3,1
"287",287,3,1,1,2,3,2,3,2,3,1
"288",288,3,1,1,2,3,2,2,3,3,1
"289",289,3,1,1,2,3,2,1,1,3,1
"290",290,3,1,1,2,3,1,2,1,3,1
"291",291,3,1,1,2,3,1,1,2,3,1
"292",292,3,1,1,1,3,2,2,1,3,1
"293",293,3,1,1,1,3,2,1,2,3,1
"294",294,3,1,1,1,3,1,2,2,3,1
"295",295,2,3,3,3,3,2,3,2,2,1
"296",296,2,3,3,3,3,2,2,3,2,1
"297",297,2,3,3,3,2,3,2,2,3,1
"298",298,2,3,3,2,3,3,3,2,2,1
"299",299,2,3,3,2,3,2,3,3,2,1
"300",300,2,3,3,2,3,2,3,2,3,1
"301",301,2,3,3,2,3,2,3,1,1,1
"302",302,2,3,3,2,3,2,1,3,1,1
"303",303,2,3,3,2,3,1,3,2,1,1
"304",304,2,3,3,2,3,1,3,1,2,1
"305",305,2,3,3,2,3,1,1,3,2,1
"306",306,2,3,3,2,2,3,3,2,3,1
"307",307,2,3,3,2,2,3,1,1,3,1
"308",308,2,3,3,2,1,3,1,2,3,1
"309",309,2,3,3,1,3,2,3,2,1,1
"310",310,2,3,3,1,3,2,3,1,2,1
"311",311,2,3,3,1,3,2,2,3,1,1
"312",312,2,3,3,1,3,2,1,3,2,1
"313",313,2,3,3,1,3,1,3,2,2,1
"314",314,2,3,3,1,3,1,2,3,2,1
"315",315,2,3,3,1,2,3,2,1,3,1
"316",316,2,3,3,1,2,3,1,2,3,1
"317",317,2,3,3,1,1,3,2,2,3,1
"318",318,2,3,2,3,3,3,3,2,2,1
"319",319,2,3,2,3,3,3,2,3,2,1
"320",320,2,3,2,3,3,3,2,2,3,1
"321",321,2,3,2,3,3,3,2,1,1,1
"322",322,2,3,2,3,3,3,1,2,1,1
"323",323,2,3,2,3,3,3,1,1,2,1
"324",324,2,3,2,3,3,2,2,3,3,1
"325",325,2,3,2,3,3,2,1,3,1,1
"326",326,2,3,2,3,3,1,2,3,1,1
"327",327,2,3,2,3,3,1,1,3,2,1
"328",328,2,3,2,3,2,2,3,3,3,1
"329",329,2,3,2,2,3,3,3,3,2,1
"330",330,2,3,2,2,3,3,1,3,1,1
"331",331,2,3,2,2,3,2,3,3,3,1
"332",332,2,3,2,2,3,1,3,3,1,1
"333",333,2,3,2,2,3,1,1,3,3,1
"334",334,2,3,2,2,2,3,3,3,3,1
"335",335,2,3,2,2,1,1,3,3,3,1
"336",336,2,3,2,1,3,3,2,3,1,1
"337",337,2,3,2,1,3,3,1,3,2,1
"338",338,2,3,2,1,3,2,3,3,1,1
"339",339,2,3,2,1,3,2,1,3,3,1
"340",340,2,3,2,1,3,1,3,3,2,1
"341",341,2,3,2,1,3,1,2,3,3,1
"342",342,2,3,2,1,3,1,1,3,1,1
"343",343,2,3,2,1,2,1,3,3,3,1
"344",344,2,3,2,1,1,2,3,3,3,1
"345",345,2,3,1,3,3,3,2,2,1,1
"346",346,2,3,1,3,3,3,2,1,2,1
"347",347,2,3,1,3,3,3,1,2,2,1
"348",348,2,3,1,3,3,2,2,3,1,1
"349",349,2,3,1,3,3,2,1,3,2,1
"350",350,2,3,1,3,3,1,2,3,2,1
"351",351,2,3,1,2,3,3,1,3,2,1
"352",352,2,3,1,2,3,2,3,3,1,1
"353",353,2,3,1,2,3,2,1,3,3,1
"354",354,2,3,1,2,3,1,3,3,2,1
"355",355,2,3,1,2,3,1,1,3,1,1
"356",356,2,3,1,2,2,1,3,3,3,1
"357",357,2,3,1,2,1,2,3,3,3,1
"358",358,2,3,1,1,3,3,2,3,2,1
"359",359,2,3,1,1,3,2,3,3,2,1
"360",360,2,3,1,1,3,2,2,3,3,1
"361",361,2,3,1,1,3,2,1,3,1,1
"362",362,2,3,1,1,3,1,2,3,1,1
"363",363,2,3,1,1,3,1,1,3,2,1
"364",364,2,3,1,1,2,2,3,3,3,1
"365",365,2,2,3,3,3,3,3,2,2,1
"366",366,2,2,3,3,3,3,2,3,2,1
"367",367,2,2,3,3,3,3,2,2,3,1
"368",368,2,2,3,3,3,3,2,1,1,1
"369",369,2,2,3,3,3,3,1,2,1,1
"370",370,2,2,3,3,3,3,1,1,2,1
"371",371,2,2,3,3,3,2,3,3,2,1
"372",372,2,2,3,3,3,2,3,2,3,1
"373",373,2,2,3,3,3,2,3,1,1,1
"374",374,2,2,3,3,3,1,3,2,1,1
"375",375,2,2,3,3,3,1,3,1,2,1
"376",376,2,2,3,3,2,3,2,3,3,1
"377",377,2,2,3,3,2,3,1,1,3,1
"378",378,2,2,3,3,2,2,3,3,3,1
"379",379,2,2,3,3,1,3,2,1,3,1
"380",380,2,2,3,3,1,3,1,2,3,1
"381",381,2,2,3,2,3,3,3,3,2,1
"382",382,2,2,3,2,3,3,3,2,3,1
"383",383,2,2,3,2,3,3,3,1,1,1
"384",384,2,2,3,2,3,3,1,1,3,1
"385",385,2,2,3,2,3,2,3,3,3,1
"386",386,2,2,3,2,3,1,3,3,1,1
"387",387,2,2,3,2,3,1,3,1,3,1
"388",388,2,2,3,2,2,3,3,3,3,1
"389",389,2,2,3,2,1,3,3,1,3,1
"390",390,2,2,3,2,1,3,1,3,3,1
"391",391,2,2,3,2,1,1,3,3,3,1
"392",392,2,2,3,1,3,3,3,2,1,1
"393",393,2,2,3,1,3,3,3,1,2,1
"394",394,2,2,3,1,3,3,2,1,3,1
"395",395,2,2,3,1,3,3,1,2,3,1
"396",396,2,2,3,1,3,2,3,3,1,1
"397",397,2,2,3,1,3,2,3,1,3,1
"398",398,2,2,3,1,3,1,3,3,2,1
"399",399,2,2,3,1,3,1,3,2,3,1
"400",400,2,2,3,1,3,1,3,1,1,1
"401",401,2,2,3,1,2,3,3,1,3,1
"402",402,2,2,3,1,2,3,1,3,3,1
"403",403,2,2,3,1,2,1,3,3,3,1
"404",404,2,2,3,1,1,3,3,2,3,1
"405",405,2,2,3,1,1,3,2,3,3,1
"406",406,2,2,3,1,1,3,1,1,3,1
"407",407,2,2,3,1,1,2,3,3,3,1
"408",408,2,2,1,3,3,3,3,2,1,1
"409",409,2,2,1,3,3,3,3,1,2,1
"410",410,2,2,1,3,3,3,2,3,1,1
"411",411,2,2,1,3,3,3,2,1,3,1
"412",412,2,2,1,3,3,3,1,3,2,1
"413",413,2,2,1,3,3,3,1,2,3,1
"414",414,2,2,1,3,3,3,1,1,1,1
"415",415,2,2,1,3,2,1,3,3,3,1
"416",416,2,2,1,3,1,2,3,3,3,1
"417",417,2,2,1,2,3,1,3,3,3,1
"418",418,2,2,1,2,1,3,3,3,3,1
"419",419,2,2,1,1,3,2,3,3,3,1
"420",420,2,2,1,1,2,3,3,3,3,1
"421",421,2,2,1,1,1,1,3,3,3,1
"422",422,2,1,3,3,3,3,2,2,1,1
"423",423,2,1,3,3,3,3,2,1,2,1
"424",424,2,1,3,3,3,3,1,2,2,1
"425",425,2,1,3,3,3,2,3,2,1,1
"426",426,2,1,3,3,3,2,3,1,2,1
"427",427,2,1,3,3,3,1,3,2,2,1
"428",428,2,1,3,3,2,3,2,1,3,1
"429",429,2,1,3,3,2,3,1,2,3,1
"430",430,2,1,3,3,1,3,2,2,3,1
"431",431,2,1,3,2,3,3,3,2,1,1
"432",432,2,1,3,2,3,3,3,1,2,1
"433",433,2,1,3,2,3,3,1,2,3,1
"434",434,2,1,3,2,3,2,3,3,1,1
"435",435,2,1,3,2,3,2,3,1,3,1
"436",436,2,1,3,2,3,1,3,3,2,1
"437",437,2,1,3,2,3,1,3,2,3,1
"438",438,2,1,3,2,3,1,3,1,1,1
"439",439,2,1,3,2,2,3,3,1,3,1
"440",440,2,1,3,2,2,3,1,3,3,1
"441",441,2,1,3,2,2,1,3,3,3,1
"442",442,2,1,3,2,1,3,3,2,3,1
"443",443,2,1,3,2,1,3,1,1,3,1
"444",444,2,1,3,2,1,2,3,3,3,1
"445",445,2,1,3,1,3,3,3,2,2,1
"446",446,2,1,3,1,3,3,2,2,3,1
"447",447,2,1,3,1,3,2,3,3,2,1
"448",448,2,1,3,1,3,2,3,2,3,1
"449",449,2,1,3,1,3,2,3,1,1,1
"450",450,2,1,3,1,3,1,3,2,1,1
"451",451,2,1,3,1,3,1,3,1,2,1
"452",452,2,1,3,1,2,3,3,2,3,1
"453",453,2,1,3,1,2,3,2,3,3,1
"454",454,2,1,3,1,2,3,1,1,3,1
"455",455,2,1,3,1,2,2,3,3,3,1
"456",456,2,1,3,1,1,3,2,1,3,1
"457",457,2,1,3,1,1,3,1,2,3,1
"458",458,2,1,2,3,3,3,3,2,1,1
"459",459,2,1,2,3,3,3,3,1,2,1
"460",460,2,1,2,3,3,3,2,3,1,1
"461",461,2,1,2,3,3,3,2,1,3,1
"462",462,2,1,2,3,3,3,1,3,2,1
"463",463,2,1,2,3,3,3,1,2,3,1
"464",464,2,1,2,3,3,3,1,1,1,1
"465",465,2,1,2,3,2,1,3,3,3,1
"466",466,2,1,2,3,1,2,3,3,3,1
"467",467,2,1,2,2,3,1,3,3,3,1
"468",468,2,1,2,2,1,3,3,3,3,1
"469",469,2,1,2,1,3,2,3,3,3,1
"470",470,2,1,2,1,2,3,3,3,3,1
"471",471,2,1,2,1,1,1,3,3,3,1
"472",472,2,1,1,3,3,3,3,2,2,1
"473",473,2,1,1,3,3,3,2,3,2,1
"474",474,2,1,1,3,3,3,2,2,3,1
"475",475,2,1,1,3,3,3,2,1,1,1
"476",476,2,1,1,3,3,3,1,2,1,1
"477",477,2,1,1,3,3,3,1,1,2,1
"478",478,2,1,1,3,2,2,3,3,3,1
